Title,List,Labels,Dependencies,Assignee,Description
"[Auth - API] Criar endpoint POST /auth/login e resposta de tokens",A Fazer,Autenticação,"[Auth - DB] Criar modelo SQLAlchemy de User (tabela usuarios); [Auth - Logic] Implementar funções utilitárias de criptografia (bcrypt); [Auth - Logic] Implementar geração e decodificação de Tokens JWT","Dev 1 (Full-stack)","Criar o endpoint /auth/login em app/api/auth.py. A rota deve receber username e senha, validar no banco, gerar o Token JWT e retornar os dados do token junto com o objeto do usuário, incluindo a flag must_change_password e o profile dele."
"[Auth - API] Criar dependência get_current_user para autenticar rotas",A Fazer,Autenticação,"[Auth - Logic] Implementar geração e decodificação de Tokens JWT","Dev 1 (Full-stack)","Criar uma função de dependência do FastAPI que extrai o token JWT do cabeçalho de Autorização (Bearer Token), decodifica o token, valida a expiração e busca o usuário correspondente no banco. Se falhar, lança erro HTTP 401 Unauthorized."
"[Auth - API] Criar dependência de RBAC para restringir perfis nas rotas",A Fazer,Autenticação,"[Auth - API] Criar dependência get_current_user para autenticar rotas","Dev 1 (Full-stack)","Criar uma classe ou função de dependência parametrizável (ex: RoleChecker) que verifica se o perfil (profile) do usuário retornado por get_current_user pertence a uma lista de perfis autorizados (ex: ['Supervisor']). Lança HTTP 403 Forbidden se o usuário não possuir a permissão necessária."
"[Auth - API] Criar endpoint POST /auth/alterar-senha",A Fazer,Autenticação,"[Auth - API] Criar dependência get_current_user para autenticar rotas; [Auth - Logic] Implementar funções utilitárias de criptografia (bcrypt)","Dev 1 (Full-stack)","Criar a rota em app/api/auth.py para alteração de senha. O usuário autenticado envia a senha atual e a nova senha. O sistema valida a senha atual, gera o hash da nova, salva no banco e define a flag must_change_password como False."
"[Auth - API] Criar rota POST /usuarios para cadastro pelo Supervisor",A Fazer,Autenticação,"[Auth - API] Criar dependência de RBAC para restringir perfis nas rotas; [Auth - Logic] Implementar funções utilitárias de criptografia (bcrypt)","Dev 1 (Full-stack)","Criar a rota em app/api/usuarios.py de uso exclusivo de usuários com perfil 'Supervisor'. Permite preencher dados de novos colaboradores (nome, matrícula/email, setor e perfil). Salva o novo usuário com uma senha temporária padrão criptografada e must_change_password=True."
"[Auth - Test] Escrever testes unitários de login e RBAC com pytest",A Fazer,Autenticação,"[Setup] Configurar suíte de testes com pytest e conftest.py; [Auth - API] Criar endpoint POST /auth/login e resposta de tokens; [Auth - API] Criar rota POST /usuarios para cadastro pelo Supervisor","Dev 1 (Full-stack)","Escrever testes automatizados em tests/test_auth.py cobrindo: login de sucesso, login com senha errada, bloqueio de rota administrativa para perfis não autorizados (Técnico/Cliente tentando acessar rotas de supervisor), alteração de senha bem-sucedida e validação de JWT expirado."
"[Dados - DB] Criar modelo SQLAlchemy de Ticket (tabela chamados)",A Fazer,Banco de Dados,"[Setup] Criar arquivo de conexão com o banco de dados database.py","Dev 2 (Full-stack)","Criar o modelo SQLAlchemy Ticket em app/models/chamado.py. Definir campos: id, code (OS-YYYYMMDD-ID), location_type (Quarto/AreaComum), bloco, andar, quarto, área comum, is_room_occupied (bool), category (TI), subcategory, status, priority, campos de SLA e timestamps."
"[Dados - DB] Criar modelo SQLAlchemy de TransferLog (logs_transferencia)",A Fazer,Banco de Dados,"[Dados - DB] Criar modelo SQLAlchemy de Ticket (tabela chamados)","Dev 2 (Full-stack)","Criar o modelo SQLAlchemy TransferLog em app/models/chamado.py. A tabela servirá de histórico detalhado para auditoria de transbordo, contendo: id, ticket_id (FK), user_who_transferred_id (FK), de_fila, para_fila, justificativa textual e data de criação."
"[Dados - DB] Criar modelos de Comment e NotificationLog",A Fazer,Banco de Dados,"[Dados - DB] Criar modelo SQLAlchemy de Ticket (tabela chamados)","Dev 2 (Full-stack)","Criar em app/models/chamado.py as tabelas de suporte: 1. Comment (comentários internos de técnicos/supervisores). 2. NotificationLog (logs históricos de e-mails enviados pelo sistema, registrando destinatário, canal, assunto, mensagem e data)."
"[Dados - Migrações] Configurar e executar migrações do banco com Alembic",A Fazer,Banco de Dados,"[Auth - DB] Criar modelo SQLAlchemy de User (tabela usuarios); [Dados - DB] Criar modelo SQLAlchemy de TransferLog (logs_transferencia); [Dados - DB] Criar modelos de Comment e NotificationLog","Dev 2 (Full-stack)","Inicializar o Alembic no projeto (alembic init). Configurar o arquivo alembic.ini e env.py para apontar para a Base de modelos. Gerar a primeira migração de criação das tabelas de usuários, chamados, logs de transferência, comentários e logs de e-mail, executando-a no banco local."
"[Dados - Seeder] Criar script de carga inicial (Data Seeding) idempotente",A Fazer,Banco de Dados,"[Dados - Migrações] Configurar e executar migrações do banco com Alembic; [Auth - Logic] Implementar funções utilitárias de criptografia (bcrypt)","Dev 2 (Full-stack)","Desenvolver o script app/worker/seeder.py. O script deve ler dados estruturados (JSON/CSV) de quartos do hotel (blocos, andares e números) e áreas comuns, inserindo-os no banco caso ainda não existam. Cadastrar também o setor de TI e o usuário Administrador/Supervisor inicial."
"[Chamado - API] Criar endpoint POST /chamados (abertura de chamado)",A Fazer,Feature,"[Dados - Migrações] Configurar e executar migrações do banco com Alembic; [Auth - API] Criar dependência get_current_user para autenticar rotas","Dev 1 (Full-stack)","Implementar a rota de abertura em app/api/chamados.py. A rota recebe o schema Pydantic contendo localização, ocupação, categoria, subcategoria, descrição e imagem opcional. Valida os campos obrigatórios e associa ao ID do solicitante logado."
"[Chamado - Logic] Criar lógica de Roteamento de Fila Automático",A Fazer,Feature,"[Chamado - API] Criar endpoint POST /chamados (abertura de chamado)","Dev 1 (Full-stack)","Desenvolver no backend a validação de fila: para esta primeira versão focada em TI, a rota de abertura deve forçar o campo destination_queue como 'TI'. Gerar e gravar o código único da OS no formato estruturado (ex: OS-YYYYMMDD-XXXX)."
"[Chamado - Logic] Criar cálculo de SLA e Prioridade no backend",A Fazer,Feature,"[Chamado - API] Criar endpoint POST /chamados (abertura de chamado)","Dev 1 (Full-stack)","Criar a função em app/services/sla_service.py. Se o chamado for do tipo 'Quarto', estiver ocupado (is_room_occupied=True) e a subcategoria pertencer ao grupo crítico (Wi-Fi ou Fechadura Eletrônica), define prioridade como Alta e prazo de SLA em 2 horas. Caso contrário, SLA de 24 horas."
"[Chamado - API] Criar rota POST /chamados/{id}/iniciar (Técnico)",A Fazer,Feature,"[Chamado - API] Criar endpoint POST /chamados (abertura de chamado)","Dev 2 (Full-stack)","Implementar rota que altera o status do chamado de 'Aberto' ou 'Reaberto' para 'EmAtendimento'. Valida se o usuário logado é Técnico ou Supervisor, registra o timestamp started_at e atribui o chamado ao técnico que executou a ação."
"[Chamado - API] Criar rota POST /chamados/{id}/pausar (Técnico)",A Fazer,Feature,"[Chamado - API] Criar rota POST /chamados/{id}/iniciar (Técnico)","Dev 2 (Full-stack)","Implementar rota de pausa de chamados. Altera o status para 'AguardandoPeca'. Exige justificativa textual em campo correspondente e executa a função de congelamento de SLA, salvando o timestamp atual no campo sla_frozen_start."
"[Chamado - API] Criar rota POST /chamados/{id}/retomar (Técnico)",A Fazer,Feature,"[Chamado - API] Criar rota POST /chamados/{id}/pausar (Técnico)","Dev 2 (Full-stack)","Implementar rota para retomar o chamado pausado. Altera o status de volta para 'EmAtendimento'. Calcula o intervalo entre o momento atual e o sla_frozen_start, adiciona esse tempo ao acumulador de segundos pausados e recalcula o sla_deadline esticando o prazo."
"[Chamado - API] Criar rota POST /chamados/{id}/concluir (Técnico)",A Fazer,Feature,"[Chamado - API] Criar rota POST /chamados/{id}/iniciar (Técnico)","Dev 2 (Full-stack)","Implementar rota de conclusão do chamado pelo técnico. Transiciona o status para 'Resolvido'. Exige o envio de um sumário textual da solução adotada (resolution_summary) e o upload obrigatório de uma imagem comprovando a resolução."
"[Chamado - API] Criar rota POST /chamados/{id}/homologar (Cliente)",A Fazer,Feature,"[Chamado - API] Criar rota POST /chamados/{id}/concluir (Técnico)","Dev 1 (Full-stack)","Implementar rota de homologação pelo cliente. Transiciona o status de 'Resolvido' para 'Fechado'. Registra o timestamp closed_at. Valida se o usuário logado é o mesmo que abriu o chamado ou pertence ao mesmo setor no caso de Recepção. Dispara a geração da OS em PDF."
"[Chamado - API] Criar rota POST /chamados/{id}/reabrir (Cliente)",A Fazer,Feature,"[Chamado - API] Criar rota POST /chamados/{id}/concluir (Técnico)","Dev 1 (Full-stack)","Implementar rota de recusa de solução. Transiciona o status de 'Resolvido' para 'Reaberto'. Exige justificativa textual de recusa, define a flag is_retrabalho como True no chamado, limpa a atribuição do técnico atual e o devolve para a fila de triagem do supervisor."
"[Chamado - API] Criar rota POST /chamados/{id}/transferir (Supervisor)",A Fazer,Feature,"[Chamado - API] Criar endpoint POST /chamados (abertura de chamado)","Dev 1 (Full-stack)","Implementar rota de transbordo exclusiva de Supervisores. Permite transferir o setor/fila de destino. Exige justificativa textual, limpa o técnico atribuído, cria o log de auditoria em TransferLog, zera o cronômetro de SLA e calcula o prazo novamente baseado no momento da transferência."
"[Chamado - Test] Escrever testes unitários para ciclo de vida de chamados",A Fazer,Feature,"[Setup] Configurar suíte de testes com pytest e conftest.py; [Chamado - Logic] Criar cálculo de SLA e Prioridade no backend; [Chamado - API] Criar rota POST /chamados/{id}/retomar (Técnico)","Dev 1 (Full-stack)","Criar o arquivo tests/test_chamados.py. Escrever testes com pytest simulando a abertura, o cálculo de SLA de 2h vs 24h, a transição de status (iniciar, pausar, retomar, concluir, homologar e reabrir), validando o comportamento do prazo de SLA e o congelamento."
"[PDF] Criar serviço em Python para geração da OS em PDF",A Fazer,Feature,"[Chamado - API] Criar rota POST /chamados/{id}/homologar (Cliente)","Dev 1 (Full-stack)","Desenvolver em app/services/pdf_service.py o gerador de PDF utilizando a biblioteca ReportLab. O layout da OS deve conter o logotipo simulado do hotel, número da OS, detalhes de abertura, localização, técnico responsável, tempos de SLA líquidos e as assinaturas finais."
"[PDF] Criar rota GET /chamados/{id}/os/download para download do PDF",A Fazer,Feature,"[PDF] Criar serviço em Python para geração da OS em PDF","Dev 1 (Full-stack)","Implementar o endpoint para download do PDF da OS gerada. A rota busca o arquivo de PDF correspondente salvo no disco local (ex: app/static/os/OS-XXXX.pdf) e o retorna usando FileResponse do FastAPI. Garante que apenas o cliente solicitante ou a equipe de TI possam baixar."
"[Notificações] Criar serviço de envio de E-mails via SMTP",A Fazer,Feature,"[Setup] Criar classe de configuração config.py com python-dotenv","Dev 2 (Full-stack)","Implementar em app/services/notify_service.py a configuração de conexão SMTP segura usando TLS. Criar funções auxiliares que montam corpos de e-mail estruturados in HTML usando templates simples para notificações de abertura de chamado crítico, conclusão de chamado e reaberturas."
"[Notificações] Enviar notificações de E-mail em segundo plano",A Fazer,Feature,"[Notificações] Criar serviço de envio de E-mails via SMTP; [Chamado - API] Criar endpoint POST /chamados (abertura de chamado)","Dev 2 (Full-stack)","Integrar o serviço de e-mail com as BackgroundTasks do FastAPI (ou Celery) nas rotas de ciclo de vida. Garantir que o envio ocorra em segundo plano para não travar a resposta HTTP das requisições principais do aplicativo móvel."
"[Retenção] Criar rotina semanal de limpeza de imagens antigas",A Fazer,Feature,"[Dados - Migrações] Configurar e executar migrações do banco com Alembic","Dev 2 (Full-stack)","Desenvolver tarefa agendada que roda semanalmente no backend. A tarefa deve buscar no banco chamados fechados há mais de 90 dias, remover os arquivos físicos de imagem associados do disco do servidor para economizar espaço e atualizar os caminhos no banco para 'expurgado_por_politica'."
"[Front - Setup] Inicializar projeto React/Vite e instalar Tailwind CSS",A Fazer,Setup,"[Chamado - Test] Escrever testes unitários para ciclo de vida de chamados; [PDF] Criar rota GET /chamados/{id}/os/download para download do PDF","Dev 2 (Full-stack)","[ETAPA FRONTEND] Criar a estrutura do frontend usando o template React/Vite com TypeScript no diretório frontend/. Instalar o Tailwind CSS, configurar as diretivas no arquivo index.css, inicializar as dependências e criar o arquivo tailwind.config.js com a paleta de cores do sistema."
"[Front - Setup] Configurar rotas (React Router) e AuthContext",A Fazer,Setup,"[Front - Setup] Inicializar projeto React/Vite e instalar Tailwind CSS","Dev 2 (Full-stack)","[ETAPA FRONTEND] Instalar o react-router-dom e configurar a árvore de rotas principais do app. Criar um contexto de autenticação global (AuthContext) para armazenar os dados do usuário logado, o token JWT localmente (localStorage) e expor funções de login e logout."
"[Front - Layout] Criar componentes base de Layout Responsivo",A Fazer,Setup,"[Front - Setup] Configurar rotas (React Router) e AuthContext","Dev 1 (Full-stack)","[ETAPA FRONTEND] Construir os componentes reutilizáveis de interface: barra lateral de navegação colapsável para desktop, menu hambúrguer para dispositivos móveis, cabeçalho de perfil, componentes de botões estilizados com Tailwind e alertas de notificação em tela."
"[Front - UI] Tela de Login e Fluxo de Primeiro Acesso",A Fazer,Autenticação,"[Front - Setup] Configurar rotas (React Router) e AuthContext","Dev 1 (Full-stack)","[ETAPA FRONTEND] Construir a interface da tela de Login. Se o backend indicar que must_change_password=True, a tela deve travar o acesso ao dashboard e exibir um formulário modal exigindo que o usuário defina uma nova senha forte, enviando as credenciais para atualização."
"[Front - UI] Tela do Cliente com Listagem de Chamados e Status",A Fazer,Feature,"[Front - Setup] Configurar rotas (React Router) e AuthContext","Dev 2 (Full-stack)","[ETAPA FRONTEND] Criar a tela principal de visualização dos clientes. Exibe um painel contendo a lista dos chamados abertos pelo próprio usuário. Exibe os status do chamado com cores correspondentes e um cronômetro indicando o tempo de SLA líquido restante para os chamados ativos."
"[Front - UI] Regra de Visibilidade da Recepção na UI",A Fazer,Feature,"[Front - UI] Tela do Cliente com Listagem de Chamados e Status","Dev 2 (Full-stack)","[ETAPA FRONTEND] Implementar filtro de busca na tela do cliente: se o setor do cliente logado for 'Recepção', o frontend deve enviar o parâmetro de busca correspondente para que a listagem exiba tanto os chamados do usuário logado quanto os dos seus colegas de recepção."
"[Front - UI] Formulário de Abertura Cascade UI",A Fazer,Feature,"[Front - Setup] Configurar rotas (React Router) e AuthContext","Dev 2 (Full-stack)","[ETAPA FRONTEND] Criar o formulário dinâmico de abertura. Se o cliente escolher 'Quarto', a UI exibe o fluxo em cascata: Bloco ➔ Andar ➔ Quarto. Se escolher 'Área Comum', exibe uma lista direta (Lobby, Cozinha, etc.). Exibe também a flag de Quarto Ocupado (Sim/Não) e campo de descrição."
"[Front - UI] Upload de Imagem no Formulário de Abertura",A Fazer,Feature,"[Front - UI] Formulário de Abertura Cascade UI","Dev 1 (Full-stack)","[ETAPA FRONTEND] Adicionar um campo de input de arquivo de imagem no formulário de abertura. Permitir que o cliente capture uma foto diretamente pela câmera do celular ou anexe um arquivo, exibindo um preview da foto selecionada em miniatura antes de enviar."
"[Front - UI] Interface de Homologação e Reabertura do Chamado",A Fazer,Feature,"[Front - UI] Tela do Cliente com Listagem de Chamados e Status","Dev 1 (Full-stack)","[ETAPA FRONTEND] Na tela do cliente, os chamados que estiverem no status 'Resolvido' devem aparecer em destaque no topo. Exibir os botões 'Aprovar e Fechar' (conclui o chamado e exibe botão de download do PDF da OS) ou 'Recusar / Reabrir' (exibe campo para digitar a justificativa de reabertura)."
"[Front - UI] Tela do Técnico com Lista de Chamados da TI",A Fazer,Feature,"[Front - Setup] Configurar rotas (React Router) e AuthContext","Dev 2 (Full-stack)","[ETAPA FRONTEND] Criar o painel operacional para o Técnico de TI. Exibe os chamados ativos ordenados por prioridade. Chamados de prioridade Alta (SLA 2h) devem piscar com uma borda ou ícone vermelho pulsante para chamar atenção. Exibe detalhes de localização e SLA de cada um."
"[Front - UI] Botões Rápidos de Ação do Técnico na UI",A Fazer,Feature,"[Front - UI] Tela do Técnico com Lista de Chamados da TI","Dev 2 (Full-stack)","[ETAPA FRONTEND] Na tela do técnico, ao clicar em um chamado, exibir botões de ação rápida baseados no status atual: se aberto, exibe 'Iniciar Atendimento'; se em andamento, exibe 'Pausar Atendimento' (abre modal de justificativa) ou 'Concluir Chamado' (abre modal exigindo anexo de foto)."
"[Front - UI] Tela de Gerenciamento de Usuários (Supervisor)",A Fazer,Feature,"[Front - Setup] Configurar rotas (React Router) e AuthContext","Dev 1 (Full-stack)","[ETAPA FRONTEND] Criar a interface exclusiva para o Supervisor de TI cadastrar novos colaboradores do hotel. O formulário deve conter nome, e-mail/matrícula, dropdown de setor (Recepção, Governança, etc.) e dropdown de perfil (Cliente, Técnico, Supervisor, Gerente)."
"[Front - UI] Botão e Modal de Transbordo (Supervisor)",A Fazer,Feature,"[Front - UI] Tela do Técnico com Lista de Chamados da TI","Dev 1 (Full-stack)","[ETAPA FRONTEND] Na tela do supervisor de TI, adicionar uma ação para transferir o setor/fila de destino de um chamado. A ação abre um modal que permite selecionar a nova fila de destino (ex: TI, Manutenção) e exige que seja digitada a justificativa de transferência."
"[Integração] Conexão das APIs de Autenticação e Usuários",Aguardando Dependência,Feature,"[Auth - API] Criar endpoint POST /auth/login e resposta de tokens; [Front - UI] Tela de Login e Fluxo de Primeiro Acesso; [Front - UI] Tela de Gerenciamento de Usuários (Supervisor)","Dev 1 (Full-stack)","Integrar fluxo de autenticação e gerenciamento de usuários conectando front e back de forma real e tratando erros correspondentes."
"[Integração] Conexão do Fluxo de Abertura e Upload de Mídia",Aguardando Dependência,Feature,"[Chamado - API] Criar endpoint POST /chamados (abertura de chamado); [Front - UI] Formulário de Abertura Cascade UI; [Front - UI] Upload de Imagem no Formulário de Abertura","Dev 2 (Full-stack)","Conectar formulário de abertura e envio de mídias aos endpoints reais do FastAPI, validando a inserção correta no banco."
"[Integração] Conexão dos Painéis Operacionais de Atendimento",Aguardando Dependência,Feature,"[Chamado - API] Criar rota POST /chamados/{id}/concluir (Técnico); [Front - UI] Botões Rápidos de Ação do Técnico na UI; [Front - UI] Interface de Homologação e Reabertura do Chamado","Dev 2 (Full-stack)","Conectar ações rápidas do painel do técnico e botões de homologação do cliente aos endpoints correspondentes no FastAPI."
"[QA] Bateria de Testes Fim a Fim (Jornada Completa)",Aguardando Dependência,Feature,"[Integração] Conexão das APIs de Autenticação e Usuários; [Integração] Conexão do Fluxo de Abertura e Upload de Mídia; [Integração] Conexão dos Painéis Operacionais de Atendimento","Dev 1 (Full-stack) & Dev 2 (Full-stack)","Executar simulação integrada fim a fim da jornada do chamado de TI em staging, garantindo a correção de bugs de usabilidade."
"[DevOps] Script de Backup Automatizado do Banco de Dados",Aguardando Dependência,Feature,"[Dados - Migrações] Configurar e executar migrações do banco com Alembic","Dev 1 (Full-stack)","Criar script shell de backups da base SQLite em staging/produção para armazenamento em nuvem externa."
"[KPIs] Painel Analítico para a Alta Gerência",Backlog,Feature,"[QA] Bateria de Testes Fim a Fim (Jornada Completa)","Dev 1 (Full-stack)","Desenvolver endpoints e gráficos de compliance de SLA, MTTR e carga por técnico após o go-live."
"[Notificações] Integração de Redundância Omnichannel via WhatsApp",Backlog,Feature,"[QA] Bateria de Testes Fim a Fim (Jornada Completa)","Dev 1 (Full-stack)","Implementar integração secundária para disparo assíncrono de notificações de emergência via WhatsApp."
"[Dados] Integração com Sistema de PMS (Hotel)",Backlog,Feature,"[QA] Bateria de Testes Fim a Fim (Jornada Completa)","Dev 2 (Full-stack)","Realizar integração entre API de chamados e sistema PMS hoteleiro externo para flag automático de ocupação."
